Result Log
Run 1
1	157
2	172
6	175
35	177
42	182
94	185
764	186
Run 2
1	162
2	170
3	176
64	179
83	180
175	182
377	187
Run 3
1	169
2	171
8	174
14	175
53	177
55	181
274	185
4142	186
Run 4
1	174
20	179
41	183
751	185
5149	187
Run 5
1	167
4	176
13	177
32	178
79	179
81	182
149	191
Run 6
1	178
129	191
Run 7
1	172
6	177
63	181
71	183
194	187
210	190
Run 8
1	159
2	168
6	171
7	179
62	180
76	182
211	184
3752	185
6782	186
8346	187
Run 9
1	157
2	175
8	176
10	177
17	189
Run 10
1	157
2	171
9	177
132	179
184	182
902	187
6764	188
7708	189
Run 11
1	160
2	168
4	169
7	172
12	181
64	183
557	186
918	187
5190	192
Run 12
1	174
9	179
39	180
190	181
212	188
Run 13
1	162
2	173
9	174
39	175
41	176
82	179
127	181
160	184
200	185
932	186
8499	187
Run 14
1	171
5	174
8	175
53	179
67	182
185	185
645	186
Run 15
1	167
2	170
3	174
34	177
37	180
47	183
333	185
642	186
3747	187
7796	191
Run 16
1	154
2	173
16	175
19	181
103	182
186	183
688	185
2700	188
Run 17
1	166
4	168
5	170
11	179
23	180
170	184
1159	188
Run 18
1	174
52	175
83	178
107	182
549	185
3738	187
9528	189
Run 19
1	171
10	172
17	176
24	178
63	179
100	187
1261	191
Run 20
1	166
3	171
7	173
9	174
13	175
19	176
49	177
82	178
111	179
113	180
161	181
166	184
932	186
7062	187
Run 21
1	173
14	174
15	176
95	178
211	183
2651	188
7190	189
Run 22
1	164
2	175
5	176
33	179
200	181
649	182
652	183
2619	184
4004	185
4028	186
7854	187
Run 23
1	162
2	167
4	174
8	180
132	185
2038	187
Run 24
1	175
20	177
61	180
385	182
900	187
Run 25
1	152
2	173
24	177
27	181
526	182
732	184
1021	185
1447	188
Run 26
1	172
2	177
14	178
27	179
60	180
294	181
546	184
1287	185
2164	188
8288	190
Run 27
1	169
4	172
20	179
56	182
647	183
765	185
3914	187
6329	188
Run 28
1	166
2	167
3	169
4	173
9	177
117	179
210	180
267	182
329	185
3992	187
6548	189
Run 29
1	170
4	173
10	183
1355	184
3304	185
3375	186
8320	188
8882	189
Run 30
1	167
2	168
3	183
62	184
3800	185
4260	186
9272	187
