Result Log
Run 1
1	47
20	48
134	49
508	50
Run 2
1	44
3	46
6	47
61	48
549	50
Run 3
1	39
2	41
3	45
11	47
26	48
366	49
2523	50
Run 4
1	42
2	45
3	48
784	49
4508	50
Run 5
1	44
8	47
10	48
772	49
2261	50
Run 6
1	42
3	43
7	44
9	45
12	46
14	47
86	48
114	49
327	50
Run 7
1	42
3	44
4	45
5	47
11	48
242	49
387	50
Run 8
1	46
19	47
28	48
348	49
2295	50
Run 9
1	43
2	45
6	46
18	47
21	48
199	49
1255	50
Run 10
1	44
4	45
10	47
174	48
510	50
Run 11
1	40
2	42
3	45
6	49
3140	50
Run 12
1	42
2	45
9	46
14	48
170	49
688	50
Run 13
1	42
2	44
3	47
33	48
76	49
3809	50
Run 14
1	42
2	44
3	45
4	49
1342	50
Run 15
1	44
4	49
13	50
Run 16
1	46
7	47
92	48
293	49
2598	50
Run 17
1	45
2	46
17	47
19	48
435	49
2666	50
Run 18
1	45
10	46
26	47
63	48
96	50
Run 19
1	45
11	46
55	49
3204	50
Run 20
1	45
22	49
780	50
Run 21
1	40
2	42
3	45
12	47
32	48
180	49
315	50
Run 22
1	44
2	48
570	49
2832	50
Run 23
1	44
3	45
5	46
38	48
285	49
1189	50
Run 24
1	44
3	46
7	47
13	48
78	49
526	50
Run 25
1	45
11	46
17	47
71	48
548	49
1901	50
Run 26
1	43
2	44
5	46
8	48
39	49
5412	50
Run 27
1	40
2	43
3	44
6	46
21	47
146	48
243	49
1164	50
Run 28
1	37
2	43
3	46
26	47
60	48
162	49
856	50
Run 29
1	44
3	50
Run 30
1	42
4	45
10	46
16	48
47	49
1367	50
