From log files: fronts/test3.txt, fronts/test5.txt
Exp. 1	Exp. 2
0.0	96.6666666667
0.0	100.0
16.6666666667	100.0
0.0	86.6666666667
36.6666666667	100.0
0.0	73.3333333333
40.0	100.0
0.0	43.3333333333
6.66666666667	100.0
0.0	80.0
16.6666666667	100.0
0.0	96.6666666667
13.3333333333	93.3333333333
60.0	76.6666666667
36.6666666667	100.0
10.0	100.0
0.0	63.3333333333
0.0	73.3333333333
20.0	56.6666666667
3.33333333333	100.0
10.0	100.0
0.0	73.3333333333
26.6666666667	96.6666666667
0.0	50.0
0.0	96.6666666667
6.66666666667	76.6666666667
20.0	96.6666666667
0.0	100.0
0.0	83.3333333333
6.66666666667	66.6666666667

Diversity
Exp. 1	0.865488262911
Exp. 2	0.887784976526
